variant,variant_label,tenor,combo,combo_label,ko_barrier,ki_barrier,spot,price,delta,gamma,vega,dividend_rho
airbag,Airbag,2,KO100_KI80,KO 100 / KI 80,100.0,80.0,95.0,-1.7739344112224218,0.39098436919467605,-0.2670258876514803,-0.08024751338523406,-0.5284992687370593
airbag,Airbag,2,KO100_KI80,KO 100 / KI 80,100.0,80.0,97.5,-0.8343413187981956,0.3091461265857417,0.15838999635404963,-0.0565717585023896,-0.4121746604152099
airbag,Airbag,2,KO100_KI80,KO 100 / KI 80,100.0,80.0,100.0,-0.07345959962073047,0.25720303367796277,-0.07019797348308254,-0.06800031383728235,-0.29666397508086306
airbag,Airbag,2,KO100_KI80,KO 100 / KI 80,100.0,80.0,102.5,0.45994619470341735,0.1923618238236841,0.05533819519324734,-0.06489057600787923,-0.19766366146207748
airbag,Airbag,2,KO100_KI80,KO 100 / KI 80,100.0,80.0,103.0,0.5637002953965846,0.17695911913654291,-0.1146122722146241,-0.07959262201441308,-0.1783642965489607
airbag,Airbag,2,KO100_KI80,KO 100 / KI 80,100.0,80.0,105.0,0.8253746843199983,0.12076156174059585,-0.06946014327433933,-0.06426973818043125,-0.11970833587263696
airbag,Airbag,2,KO100_KI80,KO 100 / KI 80,100.0,80.0,107.5,1.0341039244581858,0.06156191216277235,-0.02948771869838507,-0.04552747838973881,-0.06686059616010098
airbag,Airbag,2,KO100_KI80,KO 100 / KI 80,100.0,80.0,110.0,1.1463245435135159,0.029166859104643245,-0.020739734381285912,-0.026698515974974413,-0.03458320710538754
airbag,Airbag,2,KO100_KI80,KO 100 / KI 80,100.0,80.0,112.5,1.2033279064322002,0.013944875428559279,-0.006567868140583262,-0.015131065474118799,-0.01640224315369032
airbag,Airbag,2,KO100_KI80,KO 100 / KI 80,100.0,80.0,115.0,1.2290148041171585,0.006216720678113079,0.002647502399051286,-0.007064697058395186,-0.0071611436710083964
airbag,Airbag,2,KO100_KI80,KO 100 / KI 80,100.0,80.0,117.5,1.2407877896961987,0.0025418564946857835,0.0007077655369155824,-0.003410186444967378,-0.0028621964060837612
airbag,Airbag,2,KO100_KI80,KO 100 / KI 80,100.0,80.0,120.0,1.245417100580735,0.0009589455302363067,0.00017409417713677556,-0.0014975015055640473,-0.0010575195599882292
